Year,Word,Count
1968,control,0
1968,estimation,3
1968,frequency,12
1968,phase,3
1968,power,7
1968,signal,4
1968,system,0
1968,systems,0
1968,time,8
1968,voltage,0
1978,control,1
1978,estimation,2
1978,frequency,27
1978,phase,8
1978,power,22
1978,signal,33
1978,system,6
1978,systems,1
1978,time,9
1978,voltage,0
1980,control,0
1980,estimation,1
1980,frequency,16
1980,phase,1
1980,power,15
1980,signal,6
1980,system,0
1980,systems,0
1980,time,6
1980,voltage,0
1988,control,3
1988,estimation,7
1988,frequency,13
1988,phase,1
1988,power,19
1988,signal,8
1988,system,3
1988,systems,9
1988,time,7
1988,voltage,0
1997,control,3
1997,estimation,11
1997,frequency,53
1997,phase,0
1997,power,22
1997,signal,6
1997,system,14
1997,systems,3
1997,time,9
1997,voltage,26
1998,control,0
1998,estimation,27
1998,frequency,64
1998,phase,3
1998,power,20
1998,signal,34
1998,system,24
1998,systems,2
1998,time,10
1998,voltage,5
2002,control,25
2002,estimation,49
2002,frequency,83
2002,phase,7
2002,power,66
2002,signal,75
2002,system,40
2002,systems,4
2002,time,31
2002,voltage,5
2004,control,7
2004,estimation,28
2004,frequency,106
2004,phase,30
2004,power,38
2004,signal,20
2004,system,40
2004,systems,9
2004,time,13
2004,voltage,4
2005,control,3
2005,estimation,22
2005,frequency,44
2005,phase,10
2005,power,28
2005,signal,33
2005,system,26
2005,systems,2
2005,time,6
2005,voltage,23
2006,control,1
2006,estimation,30
2006,frequency,59
2006,phase,15
2006,power,34
2006,signal,26
2006,system,13
2006,systems,4
2006,time,45
2006,voltage,8
2007,control,7
2007,estimation,2
2007,frequency,12
2007,phase,2
2007,power,43
2007,signal,0
2007,system,30
2007,systems,22
2007,time,11
2007,voltage,1
2008,control,65
2008,estimation,13
2008,frequency,2
2008,phase,5
2008,power,6
2008,signal,44
2008,system,319
2008,systems,15
2008,time,83
2008,voltage,1
2009,control,32
2009,estimation,62
2009,frequency,158
2009,phase,105
2009,power,174
2009,signal,114
2009,system,66
2009,systems,54
2009,time,77
2009,voltage,64
2012,control,4
2012,estimation,58
2012,frequency,258
2012,phase,38
2012,power,127
2012,signal,70
2012,system,62
2012,systems,17
2012,time,26
2012,voltage,22
2013,control,12
2013,estimation,34
2013,frequency,96
2013,phase,123
2013,power,71
2013,signal,22
2013,system,47
2013,systems,20
2013,time,10
2013,voltage,47
2014,control,6
2014,estimation,37
2014,frequency,49
2014,phase,21
2014,power,40
2014,signal,21
2014,system,47
2014,systems,35
2014,time,25
2014,voltage,27
2015,control,4
2015,estimation,67
2015,frequency,127
2015,phase,50
2015,power,62
2015,signal,48
2015,system,39
2015,systems,23
2015,time,18
2015,voltage,16
2016,control,27
2016,estimation,39
2016,frequency,89
2016,phase,111
2016,power,134
2016,signal,38
2016,system,85
2016,systems,53
2016,time,53
2016,voltage,54
2018,control,4
2018,estimation,68
2018,frequency,96
2018,phase,12
2018,power,17
2018,signal,3
2018,system,10
2018,systems,4
2018,time,55
2018,voltage,0
2019,control,183
2019,estimation,74
2019,frequency,71
2019,phase,37
2019,power,96
2019,signal,36
2019,system,74
2019,systems,107
2019,time,50
2019,voltage,27
2020,control,153
2020,estimation,89
2020,frequency,630
2020,phase,141
2020,power,558
2020,signal,55
2020,system,404
2020,systems,190
2020,time,202
2020,voltage,283
2021,control,355
2021,estimation,265
2021,frequency,776
2021,phase,146
2021,power,666
2021,signal,200
2021,system,312
2021,systems,160
2021,time,212
2021,voltage,120
2022,control,12
2022,estimation,14
2022,frequency,39
2022,phase,19
2022,power,10
2022,signal,10
2022,system,4
2022,systems,9
2022,time,7
2022,voltage,17
2023,control,15
2023,estimation,64
2023,frequency,141
2023,phase,4
2023,power,145
2023,signal,44
2023,system,24
2023,systems,63
2023,time,53
2023,voltage,17
2024,control,40
2024,estimation,33
2024,frequency,172
2024,phase,46
2024,power,166
2024,signal,7
2024,system,104
2024,systems,91
2024,time,50
2024,voltage,60
