Year,Word,Count
1997,control,3
1997,estimation,11
1997,frequency,53
1997,phase,0
1997,power,22
1997,signal,6
1997,system,14
1997,systems,3
1997,time,9
1997,voltage,26
1998,control,0
1998,estimation,27
1998,frequency,64
1998,phase,3
1998,power,20
1998,signal,34
1998,system,24
1998,systems,2
1998,time,10
1998,voltage,5
2004,control,7
2004,estimation,28
2004,frequency,106
2004,phase,30
2004,power,38
2004,signal,20
2004,system,40
2004,systems,9
2004,time,13
2004,voltage,4
2005,control,3
2005,estimation,22
2005,frequency,44
2005,phase,10
2005,power,28
2005,signal,33
2005,system,26
2005,systems,2
2005,time,6
2005,voltage,23
2006,control,1
2006,estimation,30
2006,frequency,59
2006,phase,15
2006,power,34
2006,signal,26
2006,system,13
2006,systems,4
2006,time,45
2006,voltage,8
2007,control,7
2007,estimation,2
2007,frequency,12
2007,phase,2
2007,power,43
2007,signal,0
2007,system,30
2007,systems,22
2007,time,11
2007,voltage,1
2009,control,32
2009,estimation,42
2009,frequency,116
2009,phase,82
2009,power,145
2009,signal,86
2009,system,47
2009,systems,47
2009,time,60
2009,voltage,54
2012,control,4
2012,estimation,58
2012,frequency,258
2012,phase,38
2012,power,127
2012,signal,70
2012,system,62
2012,systems,17
2012,time,26
2012,voltage,22
2013,control,6
2013,estimation,32
2013,frequency,66
2013,phase,46
2013,power,74
2013,signal,24
2013,system,58
2013,systems,22
2013,time,8
2013,voltage,16
2015,control,4
2015,estimation,21
2015,frequency,31
2015,phase,6
2015,power,20
2015,signal,7
2015,system,13
2015,systems,5
2015,time,7
2015,voltage,4
2016,control,23
2016,estimation,3
2016,frequency,27
2016,phase,56
2016,power,68
2016,signal,24
2016,system,32
2016,systems,27
2016,time,15
2016,voltage,29
2019,control,17
2019,estimation,40
2019,frequency,50
2019,phase,34
2019,power,42
2019,signal,16
2019,system,55
2019,systems,19
2019,time,14
2019,voltage,6
2020,control,334
2020,estimation,266
2020,frequency,1350
2020,phase,304
2020,power,1172
2020,signal,159
2020,system,912
2020,systems,394
2020,time,558
2020,voltage,501
2021,control,328
2021,estimation,209
2021,frequency,609
2021,phase,120
2021,power,563
2021,signal,127
2021,system,259
2021,systems,134
2021,time,136
2021,voltage,98
2022,control,12
2022,estimation,14
2022,frequency,39
2022,phase,19
2022,power,10
2022,signal,10
2022,system,4
2022,systems,9
2022,time,7
2022,voltage,17
2023,control,6
2023,estimation,28
2023,frequency,3
2023,phase,1
2023,power,51
2023,signal,5
2023,system,16
2023,systems,44
2023,time,29
2023,voltage,11
