Author,Document Count
Milano,2
Federico,2
Manjavacas,1
Álvaro Ortega,1
Chughtai,1
Aamir Hussain,1
Awan,1
Muhammad Saqib,1
Yan,2
Ziming,1
Xu,1
Zhao,1
Junbo,1
Netto,1
Marcos,1
Huang,1
Zhenyu,1
Yu,1
Samson Shenglong,1
Gomez-Exposito,1
Antonio,1
Wang,2
Shaobu,1
Kamwa,1
Innocent,1
Akhlaghi,1
Shahrokh,1
Mili,1
Lamine,1
Terzija,1
Vladimir,1
Meliopoulos,1
A. P. Sakis,1
Pal,1
Bikash,1
Singh,1
Abhinav Kumar,1
Abur,1
Ali,1
Bi,1
Tianshu,1
Rouhani,1
Alireza,1
Lobos,1
Tadeusz,1
Rezmer,1
Jacek,1
Arablouei,2
Reza,2
Werner,2
Stefan,2
Dogancay,2
Kutluyil,2
Koochaki,1
Amangaldi,1
Hosseini,1
Hadieh Sadat,1
Radmehr,1
Masoud,1
Ahmed,4
Hafiz,4
Ushirobira,3
Rosane,3
Efimov,3
Denis,3
Biricik,1
Samet,1
Benbouzid,1
Mohamed,2
Roustaei,1
M,1
Seyedi,1
H,1
Hashemi,1
S M,1
Bevrani,1
Hassan,1
Golpîra,1
Hêmin,1
Messina,1
Arturo Román,1
Hatziargyriou,1
Nikos,1
Ise,1
Toshifumi,1
El-Shafey,1
M.H.,1
Mansour,1
M.M.,1
Qu,1
Bogang,1
Zidong,1
Shen,1
Bo,1
Dong,1
Hongli,1
Gandhi,1
Oktoviano,1
Kumar,1
Dhivya Sampath,1
Rodríguez-Gallegos,1
Carlos D.,1
Srinivasan,1
Dipti,1
Gençol,1
Kenan,1
Aziz,1
Christina,1
Girgis,1
Hany,1
Nayel,1
Karapidakis,1
E.S.,1
Karimi,1
H.,1
Karimi-Ghartemani,1
M.,2
Iravani,1
M.R.,1
P.,1
Fernando,1
Coln,1
Diego,1
De Padua,1
Marcelo S.,1
Sigmar,1
Peng,1
Zhang,1
Hong-Bin,1
Li,1
Pradhan,1
A.K.,1
Routray,1
A.,3
Basak,1
Qian,1
Cheng,1
Kezunovic,2
Mladen,2
Radil,1
Tomas,1
Ramos,1
Pedro M.,1
Cruz Serra,1
Ren,1
Jinfeng,1
Soh,1
Jeremy,1
Wu,1
Xiaofeng,1
Szafran,1
J.,1
Rebizant,1
W.,1
Xing,1
Jinlei,1
Mu,1
Longhua,1
